,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
397,Mercedes-Benz,E-Class,Expression E 200 BSIV,2018,"13,002 kms",Petrol,First Owner,delhi,49 Lakh*
398,Honda,City,VX MT,2017,"42,000 kms",Petrol,First Owner,delhi,9.25 Lakh*
399,Maruti,Celerio,ZXI AT,2017,"80,000 kms",Petrol,First Owner,delhi,3.99 Lakh*
400,Hyundai,i20,Sportz 1.4 CRDi,2013,"94,121 kms",Diesel,First Owner,delhi,3.55 Lakh*
401,Hyundai,Creta,1.6 VTVT AT SX Plus,2017,"51,000 kms",Petrol,Second Owner,delhi,10.25 Lakh*
402,Mercedes-Benz,C-Class,C 200 Kompressor Elegance AT,2008,"1,00,000 kms",Petrol,Third Owner,delhi,7.5 Lakh*
403,Hyundai,i20,1.2 Magna Executive,2017,"40,000 kms",Petrol,First Owner,delhi,5.5 Lakh*
404,BMW,3,Series 330i M Sport,2018,"45,000 kms",Petrol,First Owner,delhi,38 Lakh*
405,Maruti,Celerio,VXI AT,2015,"50,000 kms",Petrol,First Owner,delhi,3.8 Lakh*
406,Maruti,Swift,VXI BSIII W/ ABS,2010,"72,000 kms",Petrol,First Owner,delhi,2.45 Lakh*
407,Nissan,Micra,XL,2011,"59,000 kms",Petrol,First Owner,delhi,2.55 Lakh*
408,Maruti,Swift,Dzire VDI,2012,"56,200 kms",Diesel,Third Owner,delhi,2.7 Lakh*
409,Maruti,Swift,Dzire VDi,2011,"71,005 kms",Diesel,First Owner,delhi,2.25 Lakh*
410,Mahindra,XUV500,W8 2WD,2012,"75,000 kms",Diesel,Second Owner,delhi,4.4 Lakh*
411,Toyota,Fortuner,4x4 MT,2013,"1,65,000 kms",Diesel,First Owner,delhi,12.5 Lakh*
412,Mahindra,XUV500,W8 2WD,2013,"1,27,000 kms",Diesel,First Owner,delhi,5.75 Lakh*
413,Hyundai,Santro,Xing GL Plus,2011,"77,500 kms",Petrol,First Owner,delhi,1.7 Lakh*
414,Honda,City,ZX MT,2020,"1,800 kms",Petrol,First Owner,delhi,13.85 Lakh*
415,Maruti,Baleno,Alpha 1.2,2016,"52,000 kms",Petrol,First Owner,delhi,5.5 Lakh*
416,Maruti,Alto,800 LXI,2018,"40,000 kms",Petrol,First Owner,delhi,3.5 Lakh*
417,Toyota,Innova,Crysta 2016-2020 2.8 GX AT BSIV,2017,"1,19,234 kms",Diesel,First Owner,delhi,13.55 Lakh*
418,Honda,City,i DTec SV,2015,"70,000 kms",Diesel,First Owner,delhi,6.25 Lakh*
419,Maruti,Celerio,ZXI Optional,2015,"45,000 kms",Petrol,Second Owner,delhi,3.25 Lakh*
420,Honda,City,S,2009,"77,000 kms",Petrol,First Owner,delhi,2.5 Lakh*
421,Mahindra,XUV500,W5 BSIV,2019,"9,001 kms",Diesel,First Owner,delhi,13.75 Lakh*
422,Toyota,Corolla,Altis 1.8 G,2016,"30,000 kms",Petrol,First Owner,delhi,10.25 Lakh*
423,Maruti,Ertiga,ZDI,2012,"80,000 kms",Diesel,First Owner,delhi,5 Lakh*
424,Hyundai,i20,1.2 Spotz,2018,"30,000 kms",Petrol,First Owner,delhi,6 Lakh*
425,Hyundai,i10,Sportz,2012,"47,000 kms",Petrol,First Owner,delhi,2.8 Lakh*
426,Maruti,Vitara,Brezza ZDi,2017,"53,000 kms",Diesel,First Owner,delhi,7.5 Lakh*
427,Hyundai,Grand,i10 1.2 Kappa Magna AT,2018,"42,000 kms",Petrol,Second Owner,delhi,5.61 Lakh*
428,Honda,Jazz,1.2 V i VTEC,2018,"45,178 kms",Petrol,First Owner,delhi,6 Lakh*
429,Hyundai,Santro,Magna Corp Edition,2020,"2,480 kms",Petrol,First Owner,delhi,4.7 Lakh*
430,Honda,Brio,S MT,2012,"65,000 kms",Petrol,First Owner,delhi,2.95 Lakh*
431,Maruti,Wagon,R CNG LXI Opt BSIV,2017,"49,500 kms",CNG,First Owner,delhi,3.67 Lakh*
