,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
131,Hyundai,Creta,1.6 CRDi SX,2016,"40,000 kms",Diesel,First Owner,Ahmedabad,10.5 Lakh*
132,Maruti,Alto,LX BSIII,2007,"66,000 kms",Petrol,First Owner,Ahmedabad,1.25 Lakh*
133,Honda,Jazz,1.2 V i VTEC,2017,"27,000 kms",Petrol,First Owner,Ahmedabad,6.5 Lakh*
134,Datsun,GO,D,2015,"70,000 kms",Petrol,First Owner,Ahmedabad,2.5 Lakh*
135,Hyundai,i10,Magna 1.1 iTech SE,2013,"47,000 kms",Petrol,First Owner,Ahmedabad,3.75 Lakh*
136,Toyota,Etios,G,2011,"37,000 kms",Petrol,First Owner,Ahmedabad,3.75 Lakh*
137,Ford,Ecosport,1.5 DV5 MT Titanium,2014,"68,000 kms",Diesel,First Owner,Ahmedabad,5.25 Lakh*
138,Hyundai,i20,Diesel Sportz,2018,"16,951 kms",Diesel,First Owner,Ahmedabad,7 Lakh*
139,Maruti,Celerio,VXI,2014,"5,30,00 kms",Petrol,First Owner,Ahmedabad,3.5 Lakh*
140,Jeep,Compass,2.0 Limited Option 4X4 Black,2018,"53,000 kms",Diesel,First Owner,Ahmedabad,14.9 Lakh*
141,Maruti,Swift,Dzire LDi,2008,"90,000 kms",Diesel,Second Owner,Ahmedabad,2.2 Lakh*
142,Mahindra,Marazzo,M2 8Str BSIV,2018,"1,10,000 kms",Diesel,First Owner,Ahmedabad,8 Lakh*
143,Maruti,Swift,VDI,2013,"80,000 kms",Diesel,First Owner,Ahmedabad,3.6 Lakh*
144,Ford,EcoSport,1.5 TDCi Titanium BSIV,2016,"1,10,000 kms",Diesel,First Owner,Ahmedabad,5.25 Lakh*
145,Honda,City,i DTEC VX,2015,"1,75,000 kms",Diesel,First Owner,Ahmedabad,6.25 Lakh*
146,Toyota,Innova,Crysta 2016-2020 2.8 ZX AT BSIV,2019,"40,214 kms",Diesel,First Owner,Ahmedabad,22.75 Lakh*
147,Honda,BRV,i-DTEC S MT,2017,"54,000 kms",Diesel,First Owner,Ahmedabad,7.9 Lakh*
148,Toyota,Etios,GD,2012,"72,000 kms",Diesel,First Owner,Ahmedabad,3.46 Lakh*
149,Maruti,Swift,Dzire VDI,2014,"67,000 kms",Diesel,First Owner,Ahmedabad,4.5 Lakh*
150,Maruti,Ciaz,1.3 Alpha,2017,"83,000 kms",Diesel,First Owner,Ahmedabad,7.5 Lakh*
151,Maruti,Ertiga,SHVS ZDI Plus,2016,"1,48,000 kms",Diesel,First Owner,Ahmedabad,6.8 Lakh*
152,Hyundai,Xcent,1.2 CRDi E,2018,"73,000 kms",Diesel,First Owner,Ahmedabad,4.25 Lakh*
153,Maruti,Wagon,R LXI,2015,"64,900 kms",Petrol,First Owner,Ahmedabad,3.45 Lakh*
154,Toyota,Fortuner,4x2 Manual,2013,"1,21,000 kms",Diesel,First Owner,Ahmedabad,14.5 Lakh*
155,Hyundai,Elantra,CRDi SX AT,2014,"61,000 kms",Diesel,First Owner,Ahmedabad,7.5 Lakh*
156,Volkswagen,Polo,Diesel Trendline 1.2L,2013,"65,000 kms",Diesel,First Owner,Ahmedabad,3.25 Lakh*
157,Honda,New,Accord 2011-2014 2.4 M/T,2013,"59,000 kms",Petrol,First Owner,Ahmedabad,6.9 Lakh*
158,Toyota,Innova,2.5 G (Diesel) 8 Seater BS IV,2014,"2,00,000 kms",Diesel,First Owner,Ahmedabad,7.25 Lakh*
159,Hyundai,i20,Sportz 1.4 CRDi,2013,"66,000 kms",Diesel,First Owner,Ahmedabad,4.3 Lakh*
160,Maruti,Eeco,5 Seater AC,2017,"88,362 Kms",Petrol,1st Owner,Ahmedabad,"₹ 3,78,500"
161,Volkswagen,Vento,1.5 TDI Highline,2013,"68,000 kms",Diesel,First Owner,Ahmedabad,4.5 Lakh*
162,Nissan,Micra,Diesel XV Premium,2014,"56,000 kms",Diesel,Second Owner,Ahmedabad,2.7 Lakh*
163,Honda,BRV,i-DTEC V MT,2016,"1,00,000 kms",Diesel,First Owner,Ahmedabad,7.5 Lakh*
164,Maruti,Wagon,R AX Minor,2007,"86,786 kms",Petrol,Second Owner,Ahmedabad,"98,000*"
165,Mahindra,Verito,1.6 G6 Executive BSIV,2012,"1,00,000 kms",Petrol,First Owner,Ahmedabad,3.9 Lakh*
166,Maruti,Swift,VDI,2012,"80,000 kms",Diesel,First Owner,Ahmedabad,3.8 Lakh*
167,Maruti,S-Cross,2017-2020 Zeta DDiS 200 SH,2018,"15,000 kms",Diesel,First Owner,Ahmedabad,8.5 Lakh*
168,Maruti,Wagon,R VXI Optional,2017,"30,000 kms",Petrol,First Owner,Ahmedabad,4 Lakh*
169,Toyota,Innova,Crysta 2016-2020 2.8 GX AT 8S BSIV,2017,"88,000 kms",Diesel,First Owner,Ahmedabad,16 Lakh*
170,Maruti,Alto,LXi,2011,"60,000 kms",Petrol,First Owner,Ahmedabad,1.22 Lakh*
171,Toyota,Fortuner,4x2 AT,2016,"28,500 kms",Diesel,First Owner,Ahmedabad,19 Lakh*
172,Tata,Nexon,1.5 Revotorq XE,2018,"3,500 kms",Diesel,First Owner,Ahmedabad,6.5 Lakh*
173,Maruti,Swift,Dzire ZXI,2014,"64,000 kms",Petrol,Second Owner,Ahmedabad,4.5 Lakh*
174,Renault,Duster,110PS Diesel RxZ,2013,"85,000 kms",Diesel,First Owner,Ahmedabad,5 Lakh*
175,Mahindra,Quanto,C6,2012,"32,001 kms",Diesel,First Owner,Ahmedabad,3.25 Lakh*
176,Maruti,Zen,Estilo 1.1 LXI BSIII,2008,"1,10,000 kms",Petrol,Second Owner,Ahmedabad,1.45 Lakh*
177,BMW,X1,sDrive 20d xLine,2016,"46,000 kms",Diesel,Second Owner,Ahmedabad,25 Lakh*
178,Honda,City,i DTEC VX,2014,"1,00,000 kms",Diesel,Second Owner,Ahmedabad,6.21 Lakh*
179,Audi,Q3,35 TDI Quattro Premium,2014,"71,003 kms",Diesel,First Owner,Ahmedabad,16.5 Lakh*
180,Hyundai,Creta,1.6 CRDi SX,2016,"40,000 kms",Diesel,First Owner,Ahmedabad,10.5 Lakh*
181,Toyota,Etios,GD,2012,"73,000 kms",Diesel,First Owner,Ahmedabad,3.5 Lakh*
182,Maruti,Alto,LX BSIII,2007,"66,000 kms",Petrol,First Owner,Ahmedabad,1.25 Lakh*
183,BMW,5,Series 520d Sedan,2013,"1,25,000 kms",Diesel,Second Owner,Ahmedabad,18.5 Lakh*
184,Honda,Jazz,1.2 V i VTEC,2017,"27,000 kms",Petrol,First Owner,Ahmedabad,6.5 Lakh*
185,Toyota,Innova,Crysta 2016-2020 2.8 GX AT BSIV,2016,"72,000 kms",Diesel,First Owner,Ahmedabad,16.5 Lakh*
186,Datsun,GO,D,2015,"70,000 kms",Petrol,First Owner,Ahmedabad,2.5 Lakh*
187,Hyundai,i10,Magna 1.1 iTech SE,2013,"47,000 kms",Petrol,First Owner,Ahmedabad,3.75 Lakh*
188,BMW,7,Series 730Ld,2009,"35,000 kms",Diesel,First Owner,Ahmedabad,17.5 Lakh*
189,Toyota,Etios,G,2011,"37,000 kms",Petrol,First Owner,Ahmedabad,3.75 Lakh*
