,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
856,Chevrolet,Cruze,LTZ AT,2013,"70,200 kms",Diesel,First Owner,chennai,5 Lakh*
857,Maruti,Alto,K10 2010-2014 VXI,2013,"23,800 kms",Petrol,First Owner,chennai,2.75 Lakh*
858,Chevrolet,Spark,1.0 LS,2008,"1,24,365 kms",Petrol,Second Owner,chennai,1.2 Lakh*
859,Maruti,S-Cross,2017-2020 Zeta DDiS 200 SH,2015,"1,00,200 kms",Diesel,First Owner,chennai,6.19 Lakh*
860,Maruti,Alto,800 LXI Optional,2018,"42,000 kms",Petrol,First Owner,chennai,3.1 Lakh*
861,Maruti,Zen,Estilo VXI BSIV,2010,"65,000 kms",Petrol,First Owner,chennai,2.55 Lakh*
862,Tata,Nano,XTA,2016,"25,000 kms",Petrol,First Owner,chennai,2.55 Lakh*
863,Hyundai,Verna,Xi (Petrol),2007,"60,000 kms",Petrol,Second Owner,chennai,2.25 Lakh*
864,Honda,Brio,V MT,2013,"55,569 kms",Petrol,First Owner,chennai,3.9 Lakh*
865,Toyota,Etios,GD,2015,"85,000 kms",Diesel,First Owner,chennai,6.45 Lakh*
866,Maruti,Celerio,ZXI,2016,"56,173 kms",Petrol,First Owner,chennai,4 Lakh*
867,Hyundai,Grand,i10 Sportz,2014,"78,000 kms",Petrol,First Owner,chennai,3.7 Lakh*
868,Chevrolet,Beat,LS,2013,"1,20,000 kms",Petrol,Second Owner,chennai,2.5 Lakh*
869,Skoda,Rapid,1.6 MPI AT Elegance,2015,"40,000 kms",Petrol,First Owner,chennai,6.25 Lakh*
870,Honda,Amaze,VX AT i-Vtech,2013,"77,242 kms",Petrol,First Owner,chennai,4 Lakh*
871,Ford,EcoSport,1.5 Petrol Titanium BSIV,2019,"22,404 kms",Petrol,First Owner,chennai,8.7 Lakh*
872,Hyundai,i20,Active 1.2 S,2016,"48,000 kms",Petrol,First Owner,chennai,6.8 Lakh*
873,Skoda,Superb,Elegance 2.0 TDI CR AT,2015,"1,42,944 kms",Diesel,First Owner,chennai,5.5 Lakh*
874,Maruti,Zen,Estilo LXI BS IV,2012,"38,215 kms",Petrol,Second Owner,chennai,2.25 Lakh*
875,Chevrolet,Beat,Diesel LS,2012,"80,000 kms",Diesel,First Owner,chennai,2 Lakh*
876,Volkswagen,Polo,Diesel Comfortline 1.2L,2011,"68,000 kms",Diesel,First Owner,chennai,3 Lakh*
877,Hyundai,Santa,Fe 4WD AT,2014,"1,80,000 kms",Diesel,First Owner,chennai,11.85 Lakh*
878,Maruti,Omni,8 Seater BSIV,2013,"68,000 kms",Petrol,First Owner,chennai,2.5 Lakh*
879,Maruti,Swift,VDI,2017,"29,000 kms",Diesel,First Owner,chennai,6.5 Lakh*
880,Audi,Q3,30 TDI S Edition,2015,"72,000 kms",Diesel,Second Owner,chennai,13.96 Lakh*
881,Mahindra,Marazzo,M8,2018,"39,000 kms",Diesel,First Owner,chennai,11.49 Lakh*
882,Maruti,Swift,Dzire Tour LXI,2018,"43,803 kms",Petrol,First Owner,chennai,6.2 Lakh*
883,Hyundai,i10,Magna 1.1L,2016,"11,000 kms",Petrol,First Owner,chennai,4.25 Lakh*
884,Datsun,RediGO,T Option,2016,"13,000 kms",Petrol,First Owner,chennai,2.75 Lakh*
885,Maruti,Celerio,ZXI,2018,"32,265 kms",Petrol,First Owner,chennai,4.4 Lakh*
886,Datsun,RediGO,T,2017,"42,155 kms",Petrol,First Owner,chennai,2.75 Lakh*
887,Mahindra,XUV500,W10 AWD,2016,"79,900 kms",Diesel,First Owner,chennai,12.7 Lakh*
888,Honda,City,1.5 V MT,2011,"1,08,733 kms",Petrol,First Owner,chennai,4 Lakh*
889,Fiat,Grande,Punto 1.3 Dynamic (Diesel),2011,"85,400 kms",Diesel,Second Owner,chennai,2.4 Lakh*
890,Mahindra,KUV,100 mFALCON D75 K8,2016,"79,600 kms",Diesel,Second Owner,chennai,3.3 Lakh*
891,BMW,7,Series 740Li,2008,"1,44,000 kms",Petrol,First Owner,chennai,12 Lakh*
892,Toyota,Yaris,J Optional CVT,2020,"19,000 kms",Petrol,First Owner,chennai,8.9 Lakh*
893,Hyundai,i10,Magna 1.2 iTech SE,2011,"80,000 kms",Petrol,Second Owner,chennai,2.9 Lakh*
894,Hyundai,Creta,1.6 VTVT AT SX Plus,2016,"30,000 kms",Petrol,First Owner,chennai,10.35 Lakh*
895,Hyundai,i10,Sportz,2015,"54,000 kms",Petrol,First Owner,chennai,3.9 Lakh*
896,Maruti,Wagon,R VXI,2020,"16,000 kms",Petrol,First Owner,chennai,5.2 Lakh*
897,Hyundai,Santro,Xing XP,2004,"1,10,000 kms",Petrol,Third Owner,chennai,"85,000*"
898,Maruti,Swift,Ldi BSIV,2014,"85,000 kms",Diesel,Second Owner,chennai,4.25 Lakh*
899,Maruti,Alto,K10 2010-2014 VXI,2011,"38,000 kms",Petrol,First Owner,chennai,2.65 Lakh*
900,Audi,Q3,30 TDI Premium FWD,2017,"70,000 kms",Diesel,First Owner,chennai,25 Lakh*
901,Toyota,Innova,2.5 G (Diesel) 8 Seater,2011,"3,00,000 kms",Diesel,First Owner,chennai,6.6 Lakh*
902,Hyundai,Xcent,1.2 VTVT S,2015,"71,300 kms",Petrol,First Owner,chennai,3.9 Lakh*
903,Hyundai,Grand,i10 AT Asta,2015,"35,000 kms",Petrol,First Owner,chennai,4.7 Lakh*
904,Ford,EcoSport,1.5 Petrol Titanium Plus AT BSIV,2018,"24,000 kms",Petrol,First Owner,chennai,9.45 Lakh*
905,Honda,City,i DTEC VX,2014,"45,000 kms",Diesel,Second Owner,chennai,7.6 Lakh*
906,Maruti,Swift,Dzire Tour S,2018,"50,000 kms",CNG,First Owner,chennai,5.35 Lakh*
907,Maruti,Swift,1.3 LXI,2005,"50,000 kms",Petrol,Second Owner,chennai,1.8 Lakh*
908,Renault,Duster,85PS Diesel RxL,2014,"75,000 kms",Diesel,First Owner,chennai,4.67 Lakh*
909,Nissan,Micra,XL,2017,"84,000 kms",Petrol,First Owner,chennai,4.15 Lakh*
910,Mahindra,TUV,300 T8 AMT,2016,"66,000 kms",Diesel,First Owner,chennai,7.95 Lakh*
911,Honda,City,i VTEC S,2012,"37,000 kms",Petrol,Second Owner,chennai,4.7 Lakh*
912,Mahindra,TUV,300 Plus P6 BSIV,2019,"30,000 kms",Diesel,First Owner,chennai,10.4 Lakh*
913,BMW,X1,sDrive 20d xLine,2017,"30,000 kms",Diesel,Second Owner,chennai,23 Lakh*
914,Ford,Figo,Petrol ZXI,2010,"22,000 kms",Petrol,First Owner,chennai,3.1 Lakh*
915,Maruti,Swift,ZXI,2017,"39,000 kms",Petrol,First Owner,chennai,5.99 Lakh*
916,Hyundai,Verna,VTVT 1.4 E,2018,"19,000 kms",Petrol,First Owner,chennai,8 Lakh*
917,Ford,Classic,1.4 Duratorq Titanium,2010,"1,65,105 kms",Diesel,First Owner,chennai,1.8 Lakh*
918,Mahindra,Quanto,C8,2012,"47,000 kms",Diesel,First Owner,chennai,4.3 Lakh*
919,Ford,EcoSport,1.5 Petrol Titanium,2021,"2,500 kms",Petrol,First Owner,chennai,9.7 Lakh*
920,Toyota,Innova,Crysta 2016-2020 2.4 VX MT 8S BSIV,2017,"1,50,000 kms",Diesel,First Owner,chennai,16.65 Lakh*
921,Chevrolet,Beat,LT,2010,"17,000 kms",Petrol,First Owner,chennai,2.35 Lakh*
922,Hyundai,i20,1.4 CRDi Asta,2016,"64,112 kms",Diesel,First Owner,chennai,6.5 Lakh*
923,Hyundai,Verna,Transform CRDi VGT ABS,2011,"76,000 kms",Diesel,First Owner,chennai,3.6 Lakh*
924,Maruti,A,Star AT VXI,2013,"93,598 kms",Petrol,First Owner,chennai,2.35 Lakh*
