,Brand,Model,Variant,Manufacturing_year,Driven_kilometers,Fuel,number_of_owners,location,Price
1170,Mahindra,XUV500,R W10 FWD,2015,"80,000 kms",Diesel,Second Owner,Banglore,13 Lakh*
1171,Mercedes-Benz,E-Class,Expression E 200 BSIV,2018,"23,500 kms",Petrol,First Owner,Banglore,56.5 Lakh*
1172,Maruti,SX4,Zeta DDiS 200 SH,2017,"55,754 Kms",Diesel,1st Owner,Banglore,"₹ 7,76,500"
1173,Maruti,Celerio,VXI Option,2018,"3,426 Kms",Petrol,2nd Owner,Banglore,"₹ 4,84,000"
1174,Maruti,Swift,VXI,2013,"30,045 Kms",Petrol,1st Owner,Banglore,"₹ 4,72,000"
1175,Volkswagen,Polo,2015-2019 GT TSI,2017,"45,000 kms",Petrol,Second Owner,Banglore,8.1 Lakh*
1176,Hyundai,EON,Era Plus,2012,"50,000 kms",Petrol,Second Owner,Banglore,2.35 Lakh*
1177,Toyota,Platinum,Etios 1.4 GD,2019,"70,000 kms",Diesel,Second Owner,Banglore,7.5 Lakh*
1178,Chevrolet,Optra,1.6,2004,"94,550 kms",Petrol,Fourth & Above Owner,Banglore,1.69 Lakh*
1179,Renault,KWID,1.0 RXT AMT,2018,"18,392 Kms",Petrol,2nd Owner,Banglore,"₹ 4,64,000"
1180,Maruti,Baleno,1.2 Delta,2017,"27,915 Kms",Petrol,1st Owner,Banglore,"₹ 6,08,000"
1181,Honda,Amaze,VX i-Vtech,2015,"18,625 Kms",Petrol,2nd Owner,Banglore,"₹ 4,84,000"
1182,Renault,KWID,RXT,2016,"32,850 Kms",Petrol,1st Owner,Banglore,"₹ 3,54,000"
1183,Mini,Cooper,3 DOOR S,2017,"7,000 kms",Petrol,First Owner,Banglore,41 Lakh*
1184,Honda,Civic,1.8 S AT,2006,"87,000 kms",Petrol,First Owner,Banglore,3.75 Lakh*
1185,Volkswagen,Vento,1.2 TSI Highline AT,2014,"50,000 kms",Petrol,First Owner,Banglore,6.3 Lakh*
1186,Ford,Figo,Diesel Titanium,2010,"72,000 kms",Diesel,First Owner,Banglore,2.45 Lakh*
1187,Ford,EcoSport,1.5 Diesel Trend Plus BSIV,2016,"41,969 kms",Diesel,First Owner,Banglore,7.45 Lakh*
1188,Toyota,Fortuner,3.0 Diesel,2009,"1,94,000 kms",Diesel,Second Owner,Banglore,10.85 Lakh*
1189,Toyota,Land,Cruiser 2009-2020 VX,2011,"59,000 kms",Diesel,Second Owner,Banglore,80 Lakh*
1190,Skoda,Rapid,1.5 TDI Ambition Plus,2015,"58,000 kms",Diesel,Second Owner,Banglore,5.5 Lakh*
1191,Maruti,Swift,Dzire VXI 1.2 BS IV,2015,"33,000 kms",Petrol,First Owner,Banglore,6.19 Lakh*
1192,Honda,City,i-VTEC CVT V,2018,"62,000 kms",Petrol,First Owner,Banglore,8.69 Lakh*
1193,Maruti,Ciaz,Alpha Automatic BSIV,2018,"35,000 kms",Petrol,First Owner,Banglore,8.75 Lakh*
1194,Mahindra,Scorpio,VLX 2WD BSIII,2010,"1,09,786 kms",Diesel,Second Owner,Banglore,4.99 Lakh*
1195,Maruti,Swift,Ldi BSIII,2007,"1,00,500 kms",Diesel,Second Owner,Banglore,2.4 Lakh*
1196,Maruti,Swift,Dzire Tour S,2017,"1,20,000 kms",CNG,First Owner,Banglore,5.1 Lakh*
1197,Hyundai,i20,2015-2017 Asta Option 1.2,2017,"32,510 kms",Petrol,First Owner,Banglore,7.35 Lakh*
1198,Toyota,Innova,2.5 G4 Diesel 7-seater,2010,"1,71,485 kms",Diesel,Third Owner,Banglore,6.45 Lakh*
1199,Mahindra,XUV500,W8 2WD,2012,"79,960 kms",Diesel,Second Owner,Banglore,7.45 Lakh*
1200,Honda,City,1.5 S MT,2009,"73,800 Kms",Petrol,2nd Owner,Banglore,"₹ 3,36,000"
1201,Tata,Indigo,Sx,2005,"1,49,214 kms",Diesel,Fourth & Above Owner,Banglore,"85,000*"
1202,Hyundai,i20,Asta Option CVT BSIV,2019,"9,000 kms",Petrol,First Owner,Banglore,9.75 Lakh*
1203,Toyota,Corolla,Altis G,2012,"91,000 kms",Petrol,Third Owner,Banglore,5.45 Lakh*
1204,Hyundai,Santro,Xing XS eRLX Euro II,2003,"80,000 kms",Petrol,Second Owner,Banglore,1.1 Lakh*
1205,Datsun,GO,A,2017,"70,000 kms",Petrol,First Owner,Banglore,4 Lakh*
1206,Maruti,Omni,E 8 Str STD,2010,"47,589 kms",Petrol,Second Owner,Banglore,1.9 Lakh*
1207,Maruti,Omni,5 Seater BSIV,2011,"81,180 kms",Petrol,First Owner,Banglore,1.99 Lakh*
1208,BMW,5,Series 530d Sedan 3.0,2009,"1,10,572 kms",Diesel,Second Owner,Banglore,11.5 Lakh*
1209,Maruti,Wagon,R LXI,2006,"49,000 kms",Petrol,Second Owner,Banglore,2.1 Lakh*
1210,Maruti,Wagon,R AMT VXI,2017,"14,208 kms",Petrol,Second Owner,Banglore,4.5 Lakh*
1211,Toyota,Innova,Crysta 2016-2020 2.8 GX AT BSIV,2018,"42,173 kms",Diesel,First Owner,Banglore,18.7 Lakh*
1212,Maruti,Alto,LXi,2009,"59,992 kms",Petrol,First Owner,Banglore,2.15 Lakh*
1213,Honda,WR-V,i-VTEC VX,2018,"26,067 kms",Petrol,First Owner,Banglore,8.65 Lakh*
1214,Hyundai,Grand,i10 1.2 Kappa Sportz AT,2019,"7,632 kms",Petrol,First Owner,Banglore,6.5 Lakh*
1215,Hyundai,i20,Asta Option 1.2,2016,"14,213 kms",Petrol,First Owner,Banglore,6.85 Lakh*
1216,Hyundai,i10,Sportz 1.2,2009,"34,637 kms",Petrol,First Owner,Banglore,2.65 Lakh*
1217,Maruti,Swift,AMT VXI,2019,"16,849 kms",Petrol,First Owner,Banglore,6.65 Lakh*
1218,Maruti,Swift,VXi BSIV,2009,"1,20,189 kms",Petrol,First Owner,Banglore,2.6 Lakh*
1219,Hyundai,Santro,Xing XL,2006,"65,776 kms",Petrol,Second Owner,Banglore,1.85 Lakh*
1220,Mahindra,XUV500,W8 2WD,2012,"98,626 kms",Diesel,Second Owner,Banglore,8.35 Lakh*
1221,Maruti,Swift,VXI BSIII,2008,"43,000 Kms",Petrol,1st Owner,Banglore,"₹ 2,87,000"
1222,Toyota,Innova,Crysta 2016-2020 2.8 ZX AT BSIV,2018,"85,874 kms",Diesel,First Owner,Banglore,19.8 Lakh*
1223,Tata,Bolt,Quadrajet XM,2017,"1,20,000 kms",Diesel,Third Owner,Banglore,4 Lakh*
1224,Hyundai,Santro,Xing XO,2007,"71,000 kms",Petrol,Third Owner,Banglore,2.25 Lakh*
1225,Maruti,Wagon,R VXI Minor,2008,"57,000 kms",Petrol,Second Owner,Banglore,2.45 Lakh*
1226,Hyundai,Santro,Xing GLS,2009,"56,000 kms",Petrol,First Owner,Banglore,2.6 Lakh*
1227,Hyundai,i10,Sportz,2009,"64,000 kms",Petrol,First Owner,Banglore,3.1 Lakh*
1228,Maruti,A,Star AT VXI,2011,"32,000 kms",Petrol,Second Owner,Banglore,3.2 Lakh*
1229,Maruti,Omni,E MPI STD BS IV,2016,"20,000 kms",Petrol,First Owner,Banglore,3.25 Lakh*
1230,Hyundai,EON,Era Plus,2014,"30,000 kms",Petrol,First Owner,Banglore,3.3 Lakh*
1231,Nissan,Micra,XL Optional,2013,"51,000 kms",Petrol,Second Owner,Banglore,3.4 Lakh*
1232,Hyundai,EON,Magna Plus,2015,"11,000 kms",Petrol,First Owner,Banglore,3.75 Lakh*
1233,Honda,City,1.5 S MT,2009,"43,000 kms",Petrol,Second Owner,Banglore,3.9 Lakh*
1234,Renault,KWID,1.0 RXT Optional,2018,"35,000 kms",Petrol,First Owner,Banglore,4 Lakh*
1235,Volvo,XC60,D5 Inscription,2021,"77,000 kms",Diesel,Second Owner,Banglore,13.5 Lakh*
1236,Maruti,Celerio,ZXI AT,2015,"42,000 kms",Petrol,Second Owner,Banglore,4.9 Lakh*
1237,Hyundai,Grand,i10 Asta,2014,"21,000 kms",Petrol,First Owner,Banglore,5 Lakh*
1238,Honda,City,E,2012,"65,000 kms",Petrol,First Owner,Banglore,5.25 Lakh*
1239,Hyundai,Grand,i10 Sportz Celebration Edition,2016,"35,000 kms",Petrol,Second Owner,Banglore,5.5 Lakh*
1240,Hyundai,Grand,i10 Asta Option,2015,"40,000 kms",Petrol,Second Owner,Banglore,5.6 Lakh*
1241,Ford,Figo,1.5P Titanium AT,2015,"51,000 kms",Petrol,First Owner,Banglore,5.75 Lakh*
1242,Honda,Brio,1.2 VX MT,2017,"23,000 kms",Petrol,First Owner,Banglore,5.75 Lakh*
1243,Hyundai,Grand,i10 Asta Option,2016,"26,000 kms",Petrol,Second Owner,Banglore,6 Lakh*
1244,Maruti,Swift,VDI BSIV,2017,"45,000 kms",Diesel,Second Owner,Banglore,6.75 Lakh*
1245,Maruti,Swift,VXI Optional,2017,"36,000 kms",Petrol,First Owner,Banglore,6.75 Lakh*
1246,Maruti,Baleno,Alpha 1.2,2017,"39,000 kms",Petrol,First Owner,Banglore,7.4 Lakh*
1247,Maruti,Swift,Dzire AMT VDI,2017,"39,000 kms",Diesel,First Owner,Banglore,7.5 Lakh*
1248,Toyota,Camry,V6 (AT),2006,"79,000 kms",Petrol,Third Owner,Banglore,4.5 Lakh*
1249,Mercedes-Benz,C-Class,220 CDI MT,2006,"1,00,000 kms",Diesel,First Owner,Banglore,6.75 Lakh*
1250,Maruti,Ritz,VDi,2014,"69,000 kms",Diesel,First Owner,Banglore,4.95 Lakh*
1251,BMW,3,Series 320d Highline,2011,"47,000 kms",Diesel,Third Owner,Banglore,11.25 Lakh*
1252,Tata,Nexon,1.2 Revotron XZA Plus,2020,"5,701 kms",Petrol,First Owner,Banglore,12 Lakh*
1253,Maruti,Swift,VXI,2013,"35,949 Kms",Petrol,1st Owner,Banglore,"₹ 4,83,500"
1254,Maruti,Swift,Dzire ZDI Plus,2018,"55,000 kms",Diesel,First Owner,Banglore,7.95 Lakh*
1255,Mahindra,Scorpio,2009-2014 SLE 7S BSIV,2012,"94,000 kms",Diesel,First Owner,Banglore,6.35 Lakh*
1256,Volkswagen,Polo,1.2 MPI Comfortline,2013,"82,075 Kms",Petrol,1st Owner,Banglore,"₹ 4,15,500"
1257,Hyundai,i20,Asta 1.4 CRDi,2014,"65,000 Kms",Diesel,1st Owner,Banglore,"₹ 5,91,000"
1258,Hyundai,i10,Sportz AT,2013,"55,656 Kms",Petrol,2nd Owner,Banglore,"₹ 4,01,500"
